Incremental QALY	Incremental Costs
0.257289665	225569.882
0.189203763	272202.211
0.359121199	454938.5596
0.0067039	153744.3807
0.268653818	490508.4528
0.087074034	505210.6119
0.259839533	266450.6934
0.353185811	82970.57346
0.054924013	187169.9805
0.141415587	230396.4372
0.081395315	8374.949833
0.069179945	238309.3872
0.381439472	58215.73373
0.340354922	15556.77811
0.278303596	225315.6751
0.260223593	-168730.5848
0.02938414	212734.7638
0.264824078	550.5301359
0.209168349	-88407.62546
0.112953451	105881.7929
0.177362939	367851.8438
0.331155094	-86483.28566
0.33806233	175906.4277
0.107152028	103382.8066
0.217225716	107805.4912
0.395565205	144703.4934
0.206867768	-25128.1166
0.253040217	376678.2802
0.420870304	305555.2614
0.23868081	3018.100219
0.019742954	57009.60734
0.181080592	475158.8628
0.003366123	311248.7552
0.218415736	392230.1522
0.139848503	183194.6474
0.430442248	595171.2916
0.195249793	29584.69574
0.386046464	655601.5184
0.220061368	513043.2442
0.190122614	632261.0249
0.324478914	122571.2082
0.188177653	426292.4124
0.19561872	479419.6335
0.179874101	593736.7013
0.317373822	117416.3911
0.221519761	83399.12129
0.410832562	170140.5643
0.379942341	-87885.19439
0.198564188	302905.6438
-0.001008559	252238.4638
0.257697266	463888.8691
0.147533209	-138653.6806
0.23555367	243956.9909
0.14244193	132892.9415
0.272148598	51479.60994
-0.041003399	26049.53143
0.166644764	70878.64217
0.335956965	426206.1936
0.415632849	99470.10403
0.267794693	410720.0396
0.265538771	296929.9269
0.217155762	9882.694797
0.180579153	281624.5303
0.241743188	241578.8843
0.275969346	124564.0739
0.399647667	542853.9337
0.460909273	111691.1559
0.211909001	669158.2479
0.231184846	117409.1354
0.140068571	550838.8077
0.174085763	53480.30057
0.038266092	-48158.83885
0.285901975	89729.26434
0.075236303	35762.83621
0.276305629	250657.4572
-0.010041207	55254.17292
0.248216692	114984.4398
0.109006316	-221827.4721
0.152783325	492605.5898
0.114820455	375528.4518
0.192985835	135979.0405
0.265796466	384769.7905
0.192627991	98901.31258
0.053643914	371166.8742
0.398850029	276513.2571
0.077854196	21782.79484
0.28549731	424924.1837
0.025207473	131473.5937
0.260995575	433515.343
0.312212753	675761.9838
0.281604984	417563.021
0.185376081	-100119.6389
0.455209089	532834.0997
0.345456337	241657.2541
0.217768412	334559.2506
0.310923201	371090.3629
0.287035842	75799.58084
0.229886844	554860.4861
0.423146153	-4830.245437
-0.031364145	101744.3975
0.054102693	462816.7784
0.318432466	595669.2621
0.148854123	133038.5854
0.201191734	254874.0754
0.242920902	417125.7026
0.13177426	-10027.53578
0.190971241	382009.1077
0.36230246	175265.2123
0.33634767	238768.7479
0.164328805	-155797.5229
0.337349376	265703.8115
0.044939315	228422.8067
0.075384933	147375.4945
0.21063028	431162.2088
0.128282226	652540.7086
0.114680742	3483.416666
0.252007445	114430.7624
0.07882377	148414.0758
0.180992449	312865.6434
0.302520933	26959.22409
0.353398945	414580.1055
0.196538532	329390.3196
0.1504303	-49359.59498
0.092271618	382542.6563
0.139581857	249967.0786
0.434351921	144811.4405
0.074841624	458457.2404
0.16482389	449892.9654
-0.019580489	-171803.8801
0.445953191	79449.96997
0.205431728	247698.7994
0.317629916	407138.8713
0.128601072	336053.2116
0.376837308	-53532.97284
0.115282243	355105.0021
0.113634739	426382.194
0.3687289	193129.6557
0.249006406	436705.4652
0.136967706	745860.5606
0.291882672	82673.19347
0.185095606	624760.7539
0.276575866	-117722.9112
0.152414492	8606.7354
0.214993577	72926.92719
0.140761696	48335.21727
0.276414985	360787.5478
0.164711496	242515.2523
0.287088393	663110.8565
0.097657295	-80115.28243
0.154431894	315671.8111
0.213548454	103976.0959
0.228001247	92843.62852
0.091503512	392091.6661
0.227977494	107731.1623
0.30423255	143222.6802
0.20953361	286513.046
0.201786266	162985.46
0.239773712	-31668.13913
0.227888945	229095.1098
0.255114177	655789.278
0.135882435	397914.3989
0.151050411	391391.2859
0.217771083	589446.7581
0.172356938	551670.5032
0.216187961	311030.511
0.112488049	495278.5975
0.415604275	394321.0174
0.11416429	608949.1885
0.282192824	-53972.26072
0.005199304	272641.8734
0.372020779	382300.7071
0.243648344	-61854.68928
0.131694429	11488.69135
0.106181848	319119.334
-0.02589991	268141.8365
0.104033058	396995.214
0.188515415	398951.6345
0.160196628	323839.29
0.109765649	127516.2849
0.399805761	405129.8419
0.136152151	-74653.05885
-0.0162154	509726.1641
0.34485903	-10289.40923
0.159939653	137021.7039
0.235389268	353733.5302
0.352236203	65927.59979
0.304530139	-189602.5562
0.069442172	223223.5387
0.122920565	421359.5976
0.128575463	-51146.66043
0.445984311	201763.5199
0.144795693	396264.2037
0.28511852	156147.8912
